f(x): 5561         x: 133
f(x): 5264         x: 106
f(x): 5589         x: 119
f(x): 5544         x: 116
f(x): 5625         x: 125
f(x): 5625         x: 125
f(x): 5544         x: 134
f(x): 5141         x: 103
f(x): 5621         x: 123
f(x): 5589         x: 119
f(x): 4400         x: 90
f(x): 5600         x: 130
f(x): 5400         x: 140
f(x): 5429         x: 139
f(x): 5621         x: 123
f(x): 5525         x: 135
f(x): 5481         x: 113
f(x): 5429         x: 111
f(x): 5589         x: 119
f(x): 5400         x: 110
f(x): 5576         x: 118
f(x): 5400         x: 110
f(x): 4725         x: 95
f(x): 5525         x: 135
f(x): 5141         x: 103
f(x): 5264         x: 144
f(x): 5576         x: 132
f(x): 5525         x: 115
f(x): 5621         x: 123
f(x): 5225         x: 105
f(x): 4725         x: 95
f(x): 5369         x: 109
f(x): 5049         x: 101
f(x): 5576         x: 118
f(x): 5624         x: 124
f(x): 5625         x: 125
f(x): 5429         x: 111
f(x): 5400         x: 110
f(x): 5609         x: 121
f(x): 5600         x: 130
